CVE-2014-0101,20,,DoS,2014-03-11,2014-04-01,7.1,None,Remote,Medium,Not required,None,None,Complete,sctp_sf_do_5_1D_ce
CVE-2014-0100,362,,DoS,2014-03-11,2014-03-11,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,NA
CVE-2014-0077,20,,DoS +Priv Mem. Corr.,2014-04-14,2014-07-17,5.5,None,Local Network,High,Single system,Partial,Partial,Complete,get_rx_bufs,handle_rx
CVE-2014-0069,119,,DoS Overflow +Priv Mem. Corr. +Info,2014-02-28,2014-07-17,6.2,None,Local,High,Not required,Complete,Complete,Complete,cifs_iovec_write
CVE-2014-0049,119,,Exec Code Overflow,2014-03-11,2014-03-11,7.4,None,Local Network,Medium,Single system,Complete,Complete,Complete,complete_emulated_mmio
CVE-2014-0038,20,2,+Priv,2014-02-06,2014-03-05,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,compat_sys_recvmmsg
CVE-2013-7348,399,,DoS,2014-04-01,2014-04-01,4.6,None,Local,Low,Not required,Partial,Partial,Partial,NA
CVE-2013-7339,399,,DoS,2014-03-24,2014-07-17,4.7,None,Local,Medium,Not required,None,None,Complete,rds_ib_laddr_check
CVE-2013-7281,200,,+Info,2014-01-08,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,udpv6_recvmsg,raw_recvmsg,pn_recvmsg,ping_recvmsg,rawv6_recvmsg,dgram_recvmsg,udp_recvmsg,l2tp_ip_recvmsg
CVE-2013-7271,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,hash_sendpage,NA,vcc_insert_socket,atalk_search_socket,ax25_connect,rfcomm_sock_destruct,skcipher_wait_for_wmem,hash_recvmsg,rfcomm_get_sock_by_channel,ax25_ioctl
CVE-2013-7270,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,hash_sendpage,NA,vcc_insert_socket,atalk_search_socket,ax25_connect,rfcomm_sock_destruct,skcipher_wait_for_wmem,hash_recvmsg,rfcomm_get_sock_by_channel,ax25_ioctl
